职位,城市,区域,公司,领域,薪资,学历,技能要求,基本福利
Python数据分析,厦门,思明区,合渡普,计算机软件,3-7K·13薪,本科,Python Excel 决策树 多元统计分析 聚类分析 SQL Pandas 回归分析,员工旅游 通讯补贴 交通补助 带薪年假 全勤奖 五险一金 节日福利 住房补贴 年终奖 零食下午茶
数据分析师,上海,长宁区,拼多多集团-PDD,互联网,20-40K·16薪,本科,SQL Python 电商/零售行业数据相关经验,节日福利 全勤奖 定期体检
数据分析师,广州,天河区,法本,计算机软件,18-25K,本科,Python MATLAB SQL 数据分析/挖掘经验 英语好,企业文化 定期体检 节日福利 零食下午茶 绩效奖金 带薪年假 五险一金 员工旅游
数据分析师,上海,青浦区,九方智投,证券/期货,16-20K·14薪,硕士,Excel Pandas Hadoop NumPy Python SQL,定期体检 补充医疗保险 五险一金 员工旅游 带薪年假 年终奖 餐补 节日福利
高级数据分析师,上海,浦东新区,阅文集团,互联网,25-50K·14薪,本科,Python SAS,带薪年假 补充医疗保险 定期体检 全勤奖 餐补 五险一金 员工旅游 年终奖 节日福利
高级数据分析师,深圳,福田区,货拉拉科技,互联网,20-30K,本科,SQL Python,员工旅游 年终奖 带薪年假 五险一金 零食下午茶 节日福利 交通补助
贷后数据分析师,上海,虹口区,维信金科,互联网金融,15-30K·13薪,本科,贷后 SQL Python,员工旅游 零食下午茶 带薪年假 节日福利 五险一金 年终奖 定期体检
数据分析师,郑州,金水区,亲和智能,大数据,18-26K,本科,Python R SQL 红帽认证（RHCE）,五险一金
高级数据分析师,深圳,南山区,腾讯,互联网,25-50K·15薪,本科,数据分析 SQL Python 大数据 云计算 人工智能 商业智能 数据挖掘,定期体检 员工旅游 节日福利 免费健身房 年终奖 补充医疗保险 公仔周边活动 带薪年假 意外险 交通补助 免费班车 有无线网 团建聚餐 五险一金
数据分析师 长沙,长沙,开福区,北京黑帆,计算机软件,5-8K,本科,SQL Python 数学/统计相关专业 计算机相关专业 数据分析/挖掘经验,员工旅游 节日福利 交通补助 五险一金 底薪加提成 带薪年假 有无线网 生日福利 团建聚餐
数据分析师,南京,江宁区,南京宜开数据分析,互联网,180-200元/天,硕士,Python SQL,带薪年假 定期体检 年终奖 零食下午茶 五险一金
高级数据分析师,北京,朝阳区,天创信用,互联网,20-35K·15薪,本科,金融行业数据相关经验 数据分析/挖掘经验 Python SQL 数学/统计相关专业,定期体检 有无线网 团建聚餐 节日福利 员工旅游 五险一金 意外险 加班补助 年终奖 生日福利 带薪年假 补充医疗保险
【直招】数据分析师,北京,朝阳区,小红书,电子商务,20-40K·16薪,本科,SQL Hive Python,加班补助 五险一金 年终奖 带薪年假 团建聚餐 住房补贴 包吃 餐补 生日福利 股票期权 零食下午茶 定期体检
数据分析师（合同工）,大连,沙河口区,劲升逻辑软件（大连）,计算机软件,10-15K,本科,SQL 数据分析 Oracle DB SQL Procedure,年终奖 团建聚餐 带薪年假 法定节假日三薪 定期体检 补充医疗保险 节日福利 夜班补助 绩效奖金 意外险 五险一金
用户增长数据分析师,北京,朝阳区,BOSS直聘,人力资源服务,25-45K·16薪,本科,用户增长,带薪年假 定期体检 加班补助 补充医疗保险 节日福利 员工旅游 股票期权 住房补贴 年终奖 餐补 交通补助
数据分析师——(内推）,北京,海淀区,快手,社交网络与媒体,25-50K·16薪,本科,SQL Python R 数学/统计相关专业 数据分析/挖掘经验,节日福利 五险一金 定期体检 年终奖 股票期权 带薪年假 补充医疗保险
数据分析师-用户增长,上海,徐汇区,字节跳动,广告营销,30-60K·15薪,本科,Python Excel SQL Hive R 用户增长,交通补助 住房补贴 员工旅游 餐补 通讯补贴 年终奖 包吃 五险一金 加班补助 定期体检 补充医疗保险 带薪年假 节日福利 股票期权 零食下午茶
数据分析师(电商),深圳,龙岗区,源兴发,电子商务,15-20K,本科,数据分析/挖掘经验 计算机相关专业 电商/零售行业数据相关经验 Python SQL,五险一金 全勤奖 高温补贴 节日福利 绩效奖金 生日福利 员工旅游 团建聚餐 带薪年假 零食下午茶 底薪加提成 定期体检 工龄奖 包吃
[2025校园招聘]数据分析师,上海,长宁区,上海从鲸信息技术,互联网,25-50K·16薪,本科,SQL Python MATLAB,五险一金
数据分析师（base成都）,上海,静安区,乐信圣文,互联网,20-40K,本科,SQL Python R 文娱/游戏行业数据相关经验 经济/工商管理相关专业 计算机相关专业 因果分析 ab test 用户行为分析,五险一金 团建聚餐 节日福利 包吃 员工旅游 带薪年假 年终奖 定期体检 零食下午茶 生日福利 有无线网 补充医疗保险
数据分析师（直播侧）,上海,杨浦区,bilibili,互联网,25-35K·15薪,本科,SQL Python,交通补助 股票期权 年终奖 带薪年假 节日福利 零食下午茶 五险一金 通讯补贴 餐补 包吃 补充医疗保险 员工旅游 定期体检 全勤奖
数据分析师（寻找努力、优秀的BI同学）,上海,长宁区,拼多多集团-PDD,互联网,25-50K·16薪,本科,Hive 数据分析/挖掘经验 部门直招 SQL Python 数学/统计相关专业 物流行业数据相关经验 计算机相关,全勤奖 定期体检 节日福利
数据分析,北京,朝阳区,七十九号元素,新零售,10-15K,本科,Python MATLAB SPSS 数学/统计相关专业 计算机相关专业 数据分析/挖掘经验,
数据分析,北京,顺义区,理想汽车,汽车研发/制造,60-90K·14薪,硕士,SQL Python 数学/统计相关专业 计算机相关专业 数据分析/挖掘经验,五险一金
高级数据分析,武汉,洪山区,小米科技,互联网,20-30K,本科,SQL R Python,生日福利 员工旅游 带薪年假 团建聚餐 股票期权 免费班车 补充医疗保险 定期体检 餐补 五险一金 节日福利 年终奖 绩效奖金
数据分析实习生,北京,海淀区,快手,社交网络与媒体,300-350元/天,硕士,SQL Python R 数学/统计相关专业 计算机相关专业 数据分析/挖掘经验 熟练sql，有一线互联网大厂实习经验,股票期权 定期体检 年终奖 补充医疗保险 带薪年假 五险一金 节日福利
数据分析实习生,北京,大兴区,爱回收,生活服务(O2O),180-200元/天,本科,数据分析/挖掘经验 电商/零售行业数据相关经验 Python SQL,五险一金 补充医疗保险 带薪年假 员工旅游 节日福利 零食下午茶
库存数据分析主管/高级主管（集团）,广州,越秀区,朴朴,互联网,12-17K·13薪,本科,Python SAS Tableau,节日福利 股票期权 带薪年假 年终奖 团建经费 定期体检
策略运营（数据分析）,上海,,明源云,计算机软件,40-60K·15薪,本科,数据分析/挖掘经验 电商/零售行业数据相关经验,补充商业保险 绩效奖金 通讯补贴 带薪年假 零食下午茶 员工旅游 年终奖 股票期权 交通补助 节庆礼包/金 定期体检 节日福利 团建聚餐 五险一金 电脑补贴
高级数据分析工程师,北京,海淀区,数洋智慧,大数据,17-21K,本科,数据分析/挖掘经验 负荷预测 计算机相关专业 Python 数学/统计相关专业,定期体检 年终奖 免费班车 五险一金 员工旅游 补充医疗保险 带薪年假 零食下午茶 节日福利
